axis,mode,iteration,index,time_ms,output_bytes,io_backend,threads,cache_mb,memory_limit_mb,sb_parallel_mode
y,random,94,1827,77.443,8013204,sb-contest,8,0,16384,serial
y,random,95,599,77.443,8013204,sb-contest,8,0,16384,serial
y,random,96,91,77.443,8013204,sb-contest,8,0,16384,serial
y,random,97,1571,77.443,8013204,sb-contest,8,0,16384,serial
y,random,98,179,77.443,8013204,sb-contest,8,0,16384,serial
y,random,99,1077,77.443,8013204,sb-contest,8,0,16384,serial
z,random,0,2493,77.443,7705620,sb-contest,8,0,16384,serial
z,random,1,1466,77.443,7705620,sb-contest,8,0,16384,serial
z,random,2,4,77.443,7705620,sb-contest,8,0,16384,serial
z,random,3,1825,77.443,7705620,sb-contest,8,0,16384,serial
z,random,4,1630,77.443,7705620,sb-contest,8,0,16384,serial
z,random,5,1395,77.443,7705620,sb-contest,8,0,16384,serial
z,random,6,884,77.443,7705620,sb-contest,8,0,16384,serial
z,random,7,984,77.443,7705620,sb-contest,8,0,16384,serial
z,random,8,1331,77.443,7705620,sb-contest,8,0,16384,serial
z,random,9,1231,77.443,7705620,sb-contest,8,0,16384,serial
z,random,10,1672,77.443,7705620,sb-contest,8,0,16384,serial
z,random,11,1276,77.443,7705620,sb-contest,8,0,16384,serial
z,random,12,140,77.443,7705620,sb-contest,8,0,16384,serial
z,random,13,2425,77.443,7705620,sb-contest,8,0,16384,serial
z,random,14,2159,77.443,7705620,sb-contest,8,0,16384,serial
z,random,15,711,77.443,7705620,sb-contest,8,0,16384,serial
z,random,16,227,77.443,7705620,sb-contest,8,0,16384,serial
z,random,17,1344,77.443,7705620,sb-contest,8,0,16384,serial
z,random,18,118,77.443,7705620,sb-contest,8,0,16384,serial
z,random,19,1429,77.443,7705620,sb-contest,8,0,16384,serial
z,random,20,545,77.443,7705620,sb-contest,8,0,16384,serial
z,random,21,1953,77.443,7705620,sb-contest,8,0,16384,serial
z,random,22,618,77.443,7705620,sb-contest,8,0,16384,serial
z,random,23,1927,77.443,7705620,sb-contest,8,0,16384,serial
z,random,24,1495,77.443,7705620,sb-contest,8,0,16384,serial
z,random,25,2289,77.443,7705620,sb-contest,8,0,16384,serial
z,random,26,524,77.443,7705620,sb-contest,8,0,16384,serial
z,random,27,1165,77.443,7705620,sb-contest,8,0,16384,serial
z,random,28,504,77.443,7705620,sb-contest,8,0,16384,serial
z,random,29,1355,77.443,7705620,sb-contest,8,0,16384,serial
z,random,30,1934,77.443,7705620,sb-contest,8,0,16384,serial
z,random,31,1637,77.443,7705620,sb-contest,8,0,16384,serial
z,random,32,681,77.443,7705620,sb-contest,8,0,16384,serial
z,random,33,2050,77.443,7705620,sb-contest,8,0,16384,serial
z,random,34,2431,77.443,7705620,sb-contest,8,0,16384,serial
z,random,35,1589,77.443,7705620,sb-contest,8,0,16384,serial
z,random,36,1013,77.443,7705620,sb-contest,8,0,16384,serial
z,random,37,1177,77.443,7705620,sb-contest,8,0,16384,serial
z,random,38,812,77.443,7705620,sb-contest,8,0,16384,serial
z,random,39,707,77.443,7705620,sb-contest,8,0,16384,serial
z,random,40,948,77.443,7705620,sb-contest,8,0,16384,serial
z,random,41,54,77.443,7705620,sb-contest,8,0,16384,serial
z,random,42,2260,77.443,7705620,sb-contest,8,0,16384,serial
z,random,43,2067,77.443,7705620,sb-contest,8,0,16384,serial
z,random,44,1073,77.443,7705620,sb-contest,8,0,16384,serial
z,random,45,1460,77.443,7705620,sb-contest,8,0,16384,serial
z,random,46,1883,77.443,7705620,sb-contest,8,0,16384,serial
z,random,47,1597,77.443,7705620,sb-contest,8,0,16384,serial
z,random,48,2454,77.443,7705620,sb-contest,8,0,16384,serial
z,random,49,1627,77.443,7705620,sb-contest,8,0,16384,serial
z,random,50,1086,77.443,7705620,sb-contest,8,0,16384,serial
z,random,51,2490,77.443,7705620,sb-contest,8,0,16384,serial
z,random,52,336,77.443,7705620,sb-contest,8,0,16384,serial
z,random,53,138,77.443,7705620,sb-contest,8,0,16384,serial
z,random,54,2200,77.443,7705620,sb-contest,8,0,16384,serial
z,random,55,1479,77.443,7705620,sb-contest,8,0,16384,serial
z,random,56,917,77.443,7705620,sb-contest,8,0,16384,serial
z,random,57,1543,77.443,7705620,sb-contest,8,0,16384,serial
z,random,58,2076,77.443,7705620,sb-contest,8,0,16384,serial
z,random,59,2473,77.443,7705620,sb-contest,8,0,16384,serial
z,random,60,632,77.443,7705620,sb-contest,8,0,16384,serial
z,random,61,1332,77.443,7705620,sb-contest,8,0,16384,serial
z,random,62,1900,77.443,7705620,sb-contest,8,0,16384,serial
z,random,63,314,77.443,7705620,sb-contest,8,0,16384,serial
z,random,64,2476,77.443,7705620,sb-contest,8,0,16384,serial
z,random,65,166,77.443,7705620,sb-contest,8,0,16384,serial
z,random,66,1161,77.443,7705620,sb-contest,8,0,16384,serial
z,random,67,470,77.443,7705620,sb-contest,8,0,16384,serial
z,random,68,1444,77.443,7705620,sb-contest,8,0,16384,serial
z,random,69,686,77.443,7705620,sb-contest,8,0,16384,serial
z,random,70,2015,77.443,7705620,sb-contest,8,0,16384,serial
z,random,71,1030,77.443,7705620,sb-contest,8,0,16384,serial
z,random,72,224,77.443,7705620,sb-contest,8,0,16384,serial
z,random,73,2009,77.443,7705620,sb-contest,8,0,16384,serial
z,random,74,2376,77.443,7705620,sb-contest,8,0,16384,serial
z,random,75,2128,77.443,7705620,sb-contest,8,0,16384,serial
z,random,76,2439,77.443,7705620,sb-contest,8,0,16384,serial
z,random,77,295,77.443,7705620,sb-contest,8,0,16384,serial
z,random,78,2486,77.443,7705620,sb-contest,8,0,16384,serial
z,random,79,1245,77.443,7705620,sb-contest,8,0,16384,serial
z,random,80,1538,77.443,7705620,sb-contest,8,0,16384,serial
z,random,81,1242,77.443,7705620,sb-contest,8,0,16384,serial
z,random,82,1052,77.443,7705620,sb-contest,8,0,16384,serial
z,random,83,1244,77.443,7705620,sb-contest,8,0,16384,serial
z,random,84,2391,77.443,7705620,sb-contest,8,0,16384,serial
z,random,85,409,77.443,7705620,sb-contest,8,0,16384,serial
z,random,86,2169,77.443,7705620,sb-contest,8,0,16384,serial
z,random,87,178,77.443,7705620,sb-contest,8,0,16384,serial
z,random,88,1397,77.443,7705620,sb-contest,8,0,16384,serial
z,random,89,1825,77.443,7705620,sb-contest,8,0,16384,serial
z,random,90,663,77.443,7705620,sb-contest,8,0,16384,serial
